time,energy
1,1.2373222005189297e+34
2,1.237584483156471e+34
3,1.2378540365722357e+34
4,1.238130232501569e+34
5,1.238412395036665e+34
6,1.2386998013287468e+34
7,1.2389916825246378e+34
8,1.2392872249814436e+34
9,1.2395855718025198e+34
10,1.2398858247364549e+34
11,1.240187046478608e+34
12,1.2404882634117647e+34
13,1.240788468818508e+34
14,1.241086626592813e+34
15,1.2413816754719527e+34
16,1.241672533801947e+34
17,1.2419581048404664e+34
18,1.2422372825903858e+34
19,1.2425089581451377e+34
20,1.242772026513914e+34
21,1.2430253938808547e+34
22,1.2432679852380003e+34
23,1.2434987523174104e+34
24,1.2437166817339707e+34
25,1.2439208032375058e+34
26,1.2441101979614965e+34
27,1.2442840065464936e+34
28,1.2444414370097436e+34
29,1.2445817722290867e+34
30,1.2447043769091958e+34
31,1.2448087039019752e+34
32,1.244894299760507e+34
33,1.24496080941731e+34
34,1.2450079798925842e+34
35,1.2450356629562168e+34
36,1.2450438166880298e+34
37,1.245032505903402e+34
38,1.2450019014352263e+34
39,1.2449522782872862e+34
40,1.2448840126977515e+34
41,1.2447975781737322e+34
42,1.2446935405779428e+34
43,1.2445725523658838e+34
44,1.2444353460860016e+34
45,1.244282727265727e+34
46,1.2441155668129075e+34
47,1.2439347930649263e+34
48,1.243741383616924e+34
49,1.243536357056225e+34
50,1.2433207647227982e+34
51,1.2430956826057537e+34
52,1.2428622034741011e+34
53,1.242621429326754e+34
54,1.2423744642326977e+34
55,1.2421224076177764e+34
56,1.2418663480402365e+34
57,1.2416073574833667e+34
58,1.2413464861806473e+34
59,1.2410847579770112e+34
60,1.2408231662193281e+34
61,1.240562670160162e+34
62,1.2403041918512538e+34
63,1.2400486134970765e+34
64,1.2397967752341273e+34
65,1.239549473298267e+34
66,1.239307458540339e+34
67,1.2390714352492743e+34
68,1.2388420602419096e+34
69,1.2386199421795495e+34
70,1.2384056410728774e+34
71,1.23819966793893e+34
72,1.2380024845764894e+34
73,1.237814503429237e+34
74,1.2376360875093037e+34
75,1.2374675503573692e+34
76,1.2373091560191395e+34
77,1.2371611190218288e+34
78,1.2370236043381393e+34
79,1.2368967273291643e+34
80,1.2367805536615924e+34
81,1.2366750991985693e+34
82,1.2365803298675344e+34
83,1.23649616151233e+34
84,1.2364224597408037e+34
85,1.2363590397830288e+34
86,1.2363056663790818e+34
87,1.2362620537190515e+34
88,1.2362278654615183e+34
89,1.2362027148601281e+34
90,1.236186165030997e+34
91,1.2361777293964386e+34
92,1.2361768723428449e+34
93,1.2361830101323062e+34
94,1.2361955121086804e+34
95,1.236213702239127e+34
96,1.2362368610315164e+34
97,1.2362642278664488e+34
98,1.2362950037797667e+34
99,1.2363283547272912e+34
100,1.2363634153579652e+34
101,1.2363992933145795e+34
102,1.236435074072796e+34
103,1.2364698263192251e+34
104,1.2365026078580326e+34
105,1.2365324720229946e+34
106,1.2365584745583978e+34
107,1.2365796809178995e+34
108,1.2365951739158604e+34
109,1.2366040616511694e+34
110,1.2366054856097204e+34
111,1.236598628839084e+34
112,1.2365827240781843e+34
113,1.2365570617164896e+34
114,1.236520997451979e+34
115,1.2364739595152574e+34
116,1.2364154553290106e+34
117,1.2363450774775292e+34
118,1.2362625088703012e+34
119,1.2361675269965002e+34
120,1.2360600071832593e+34
121,1.2359399247896046e+34
122,1.2358073562891966e+34
123,1.235662479218026e+34
124,1.235505570987102e+34
125,1.2353370065841714e+34
126,1.2351572552117382e+34
127,1.234966875930309e+34
128,1.2347665123951448e+34
129,1.2345568867911894e+34
130,1.2343387930837899e+34
131,1.2341130897119127e+34
132,1.2338806918555882e+34
133,1.2336425634101705e+34
134,1.233399708796858e+34
135,1.233153164732189e+34
136,1.2329039920696701e+34
137,1.2326532678152946e+34
138,1.2324020774065202e+34
139,1.2321515073319872e+34
140,1.2319026381571622e+34
141,1.2316565380089155e+34
142,1.231414256559514e+34
143,1.2311768195374794e+34
144,1.2309452237796593e+34
145,1.2307204328262723e+34
146,1.2305033730493584e+34
147,1.2302949302954448e+34
148,1.2300959470155189e+34
149,1.229907219849556e+34
150,1.2297294976286808e+34
151,1.2295634797553327e+34
152,1.2294098149203605e+34
153,1.2292691001155515e+34
154,1.2291418799006092e+34
155,1.2290286458848195e+34
156,1.2289298363855386e+34
157,1.2288458362280046e+34
158,1.2287769766538033e+34
